title,companyName,location,skillsNeeded,category,description,createdAt,id
Content Publishing,Review Dialer,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,1
Social Media Marketing,Trip Shades,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,2
Market Research,Elite Crete India,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Market Research, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,3
Facebook Marketing,Cyber Pathshala India,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,4
Graphic Design,2Cube,Gurgaon,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,5
Company Secretary (CS),Mee 2 Bee Smart Service Private Limited,Jaipur,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Company Secretary (CS), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,6
HR Corporate Relations,GetReady4Job,Work From Home,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,7
Social Media Marketing,Edzer Education Private Limited,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,8
Telecalling,Docsy MedTech Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Telecalling, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,9
Operations,Dirty Feet,Hyderabad,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Operations, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,10
